genus,age,latitude
spisula,Modern,27.513682
spisula,Modern,39.060014
spisula,Modern,39.349978
spisula,Modern,39.352858
spisula,Modern,38.604469
spisula,Modern,27.261849
spisula,Modern,26.436364
spisula,Modern,37.908318
spisula,Modern,25.9583
spisula,Modern,33.5167
spisula,Modern,25.9717
spisula,Modern,26.45
spisula,Modern,26.4306
spisula,Modern,39.357249
spisula,Modern,25.94121
spisula,Modern,39.36
spisula,Modern,25.97
spisula,Modern,39.38
spisula,Modern,38.9889
spisula,Modern,31.07
spisula,Modern,38.95
spisula,Modern,32.51
spisula,Modern,26.44
spisula,Modern,39.36
spisula,Modern,39.36
spisula,Modern,38.98
spisula,Modern,37.27
spisula,Modern,33.82
spisula,Modern,39.1
spisula,Modern,39.4
spisula,Modern,28.31972
spisula,Modern,26.14167
spisula,Modern,25.972222
spisula,Modern,26.433333
spisula,Modern,27.770556
spisula,Modern,26.44
spisula,Modern,27.95
spisula,Modern,39.362425
spisula,Modern,34.927
spisula,Modern,26.200367
spisula,Modern,25.94
spisula,Modern,24.819859
spisula,Modern,27.784245
spisula,Modern,27.716667
spisula,Modern,37.605
spisula,Modern,29.95
spisula,Modern,26.522778
spisula,Modern,26.333333
spisula,Modern,26.333333
spisula,Modern,26.133333
parvilucina,Modern,27.4655
parvilucina,Modern,34.396
parvilucina,Modern,27.74836
parvilucina,Modern,27.2416
parvilucina,Modern,25.73591
parvilucina,Modern,25.939741
parvilucina,Modern,27.2144
parvilucina,Modern,34.647697
parvilucina,Modern,26.436633
parvilucina,Modern,27.790123
parvilucina,Modern,26.521127
parvilucina,Modern,26.439183
parvilucina,Modern,26.479868
parvilucina,Modern,25.939741
parvilucina,Modern,25.7883
parvilucina,Modern,28.0
parvilucina,Modern,25.7883
parvilucina,Modern,25.7883
parvilucina,Modern,25.7883
parvilucina,Modern,25.7883
parvilucina,Modern,27.88
parvilucina,Modern,25.7883
parvilucina,Modern,25.7883
parvilucina,Modern,25.7883
parvilucina,Modern,25.7883
parvilucina,Modern,25.7883
parvilucina,Modern,25.7883
parvilucina,Modern,27.88
parvilucina,Modern,25.7883
parvilucina,Modern,25.7883
parvilucina,Modern,25.7883
parvilucina,Modern,25.77
parvilucina,Modern,25.7883
parvilucina,Modern,25.7883
parvilucina,Modern,26.5708
parvilucina,Modern,27.11077
parvilucina,Modern,27.34728
parvilucina,Modern,26.6147
parvilucina,Modern,27.88
parvilucina,Modern,26.5708
parvilucina,Modern,27.465524
parvilucina,Modern,28.14592
parvilucina,Modern,30.4036
parvilucina,Modern,35.13
parvilucina,Modern,27.97
parvilucina,Modern,26.44
parvilucina,Modern,27.75
parvilucina,Modern,27.4655
parvilucina,Modern,25.08611
parvilucina,Modern,24.695
parvilucina,Modern,27.74828
parvilucina,Modern,26.5708
parvilucina,Modern,24.7613
parvilucina,Modern,27.15181
parvilucina,Modern,26.5708
parvilucina,Modern,26.94
parvilucina,Modern,26.494167
parvilucina,Modern,25.817496
parvilucina,Modern,26.9225
parvilucina,Modern,26.07
parvilucina,Modern,26.87
parvilucina,Modern,25.7883
parvilucina,Modern,27.283333
noetia,Modern,33.551
noetia,Modern,34.71822
noetia,Modern,39.16706
noetia,Modern,27.74836
noetia,Modern,27.39057
noetia,Modern,31.21755
noetia,Modern,32.79802
noetia,Modern,28.32001
noetia,Modern,27.74836
noetia,Modern,34.46295
noetia,Modern,27.44671
noetia,Modern,34.71624
noetia,Modern,28.32001
noetia,Modern,27.74836
noetia,Modern,29.90632
noetia,Modern,33.646265
noetia,Modern,33.458488
noetia,Modern,28.399514
noetia,Modern,26.087613
noetia,Modern,35.212291
noetia,Modern,29.549884
noetia,Modern,34.697642
noetia,Modern,26.435252
noetia,Modern,25.920245
noetia,Modern,27.265423
noetia,Modern,28.388288
noetia,Modern,30.67185
noetia,Modern,32.787957
noetia,Modern,25.81383
noetia,Modern,29.72669
noetia,Modern,29.772311
noetia,Modern,33.732752
noetia,Modern,26.437728
noetia,Modern,26.523854
noetia,Modern,26.481837
noetia,Modern,35.213819
noetia,Modern,33.91377
noetia,Modern,26.436382
noetia,Modern,25.894385
noetia,Modern,36.692853
noetia,Modern,29.914352
noetia,Modern,26.33158
noetia,Modern,32.374568
noetia,Modern,27.254577
noetia,Modern,27.709221
noetia,Modern,29.243517
noetia,Modern,28.388288
noetia,Modern,32.655279
noetia,Modern,34.697681
noetia,Modern,35.21398
noetia,Modern,30.457037
noetia,Modern,29.785302
noetia,Modern,25.919907
noetia,Modern,35.223945
noetia,Modern,33.514562
noetia,Modern,34.647617
noetia,Modern,26.435663
noetia,Modern,34.6473
noetia,Modern,30.664678
noetia,Modern,26.480494
noetia,Modern,28.857791
noetia,Modern,32.173405
noetia,Modern,31.955579
noetia,Modern,26.435904
noetia,Modern,31.184342
noetia,Modern,35.223956
noetia,Modern,30.456733
noetia,Modern,36.031304
noetia,Modern,29.085189
noetia,Modern,30.381162
noetia,Modern,33.646957
noetia,Modern,28.040971
