genus,age,latitude
parvilucina,Pleistocene,33.100277
astarte,Pleistocene,30.625834
parvilucina,Pleistocene,30.625834
parvilucina,Pleistocene,30.625834
chama,Pleistocene,30.383333
mulinia,Pleistocene,27.316668
chesapecten,Pleistocene,27.316668
chesapecten,Pleistocene,27.316668
crepidula,Pleistocene,32.983891
noetia,Pleistocene,27.63833
mulinia,Pleistocene,27.63833
noetia,Pleistocene,29.231981
noetia,Pleistocene,26.8145
parvilucina,Pleistocene,27.321403
mulinia,Pleistocene,27.321403
crepidula,Pleistocene,27.321403
crepidula,Pleistocene,27.321403
crepidula,Pleistocene,30.706386
parvilucina,Pleistocene,30.706386
mulinia,Pleistocene,30.706386
mulinia,Pleistocene,30.706386
mulinia,Pleistocene,30.706386
mulinia,Pleistocene,30.706386
crepidula,Pleistocene,30.706386
parvilucina,Pleistocene,30.706386
noetia,Pleistocene,30.715418
noetia,Pleistocene,26.750024
chama,Pleistocene,26.750024
chama,Pleistocene,26.750024
chama,Pleistocene,26.750024
chama,Pleistocene,26.750024
chama,Pleistocene,26.750024
chama,Pleistocene,26.750024
parvilucina,Pleistocene,26.750024
parvilucina,Pleistocene,26.750024
parvilucina,Pleistocene,26.750024
mulinia,Pleistocene,26.750024
mulinia,Pleistocene,26.750024
mulinia,Pleistocene,26.750024
crepidula,Pleistocene,26.750024
crepidula,Pleistocene,26.750024
crepidula,Pleistocene,26.750024
crepidula,Pleistocene,26.750024
noetia,Pleistocene,26.683145
chama,Pleistocene,26.683145
chama,Pleistocene,26.683145
noetia,Pleistocene,26.75389
chama,Pleistocene,26.75389
chama,Pleistocene,26.75389
chama,Pleistocene,26.75389
chama,Pleistocene,26.75389
mulinia,Pleistocene,26.75389
mulinia,Pleistocene,26.75389
mulinia,Pleistocene,26.75389
chesapecten,Pleistocene,26.975402
crepidula,Pleistocene,27.63833
chama,Pleistocene,26.659514
noetia,Pleistocene,26.659514
chama,Pleistocene,26.659514
chama,Pleistocene,26.659514
modiolus,Pleistocene,26.659514
modiolus,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
noetia,Pleistocene,26.659514
chama,Pleistocene,26.659514
chama,Pleistocene,26.75389
mulinia,Pleistocene,29.481431
parvilucina,Pleistocene,29.481431
noetia,Pleistocene,29.481431
crepidula,Pleistocene,29.481431
crepidula,Pleistocene,29.481431
crepidula,Pleistocene,29.481431
astarte,Pleistocene,26.750024
chama,Pleistocene,26.750024
crepidula,Pleistocene,26.750024
parvilucina,Pleistocene,26.750024
chama,Pleistocene,26.750024
mulinia,Pleistocene,26.750024
crepidula,Pleistocene,26.750024
chama,Pleistocene,26.750024
crepidula,Pleistocene,26.750024
spisula,Pleistocene,26.750024
chama,Pleistocene,26.750024
chama,Pleistocene,26.750024
chama,Pleistocene,26.750024
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
noetia,Pleistocene,27.692967
parvilucina,Pleistocene,27.692967
mulinia,Pleistocene,27.692967
chama,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
chama,Pleistocene,27.692967
mulinia,Pleistocene,27.692967
parvilucina,Pleistocene,27.692967
modiolus,Pleistocene,27.692967
chama,Pleistocene,27.692967
noetia,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
mulinia,Pleistocene,27.692967
parvilucina,Pleistocene,27.692967
noetia,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
parvilucina,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
parvilucina,Pleistocene,27.692967
chama,Pleistocene,27.692967
noetia,Pleistocene,27.692967
mulinia,Pleistocene,27.692967
chama,Pleistocene,27.692967
parvilucina,Pleistocene,27.692967
modiolus,Pleistocene,27.692967
noetia,Pleistocene,27.692967
mulinia,Pleistocene,27.692967
mulinia,Pleistocene,27.692967
parvilucina,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
noetia,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
noetia,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,26.789463
crepidula,Pleistocene,26.789463
crepidula,Pleistocene,26.753565
noetia,Pleistocene,26.789463
noetia,Pleistocene,27.692967
noetia,Pleistocene,27.692967
noetia,Pleistocene,27.692967
noetia,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
noetia,Pleistocene,27.692967
noetia,Pleistocene,27.692967
noetia,Pleistocene,27.692967
noetia,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
chama,Pleistocene,26.659514
chama,Pleistocene,26.733905
chama,Pleistocene,26.733905
noetia,Pleistocene,27.482995
spisula,Pleistocene,27.4472
noetia,Pleistocene,26.715597
chama,Pleistocene,26.659514
noetia,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
chama,Pleistocene,26.659514
crepidula,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
chama,Pleistocene,26.733905
chama,Pleistocene,26.740239
chama,Pleistocene,26.763957
crepidula,Pleistocene,26.816657
crepidula,Pleistocene,26.816657
mulinia,Pleistocene,26.816657
chama,Pleistocene,26.816657
crepidula,Pleistocene,26.809732
noetia,Pleistocene,26.809732
crepidula,Pleistocene,26.809732
mulinia,Pleistocene,26.809732
chama,Pleistocene,26.767115
chama,Pleistocene,26.733905
parvilucina,Pleistocene,26.659514
mulinia,Pleistocene,26.659514
crepidula,Pleistocene,28.04064
mulinia,Pleistocene,28.04064
chama,Pleistocene,27.366642
mulinia,Pleistocene,27.366642
chama,Pleistocene,26.75389
mulinia,Pleistocene,27.366642
chama,Pleistocene,27.366642
parvilucina,Pleistocene,27.366642
crepidula,Pleistocene,27.366642
crepidula,Pleistocene,27.366642
crepidula,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
chama,Pleistocene,26.659514
noetia,Pleistocene,26.659514
chama,Pleistocene,26.659514
modiolus,Pleistocene,26.659514
chama,Pleistocene,26.659514
chama,Pleistocene,26.659514
mulinia,Pleistocene,26.659514
mulinia,Pleistocene,26.659514
chama,Pleistocene,26.683145
chama,Pleistocene,26.683145
chama,Pleistocene,26.683145
parvilucina,Pleistocene,29.4547
cyclocardia,Pleistocene,29.4547
mulinia,Pleistocene,29.4547
crepidula,Pleistocene,29.4547
crepidula,Pleistocene,29.4547
crepidula,Pleistocene,29.4547
mulinia,Pleistocene,29.4547
crepidula,Pleistocene,29.4547
crepidula,Pleistocene,29.4547
modiolus,Pleistocene,26.659514
chama,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
noetia,Pleistocene,26.659514
chama,Pleistocene,26.659514
chama,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
noetia,Pleistocene,26.659514
mulinia,Pleistocene,26.659514
parvilucina,Pleistocene,26.659514
parvilucina,Pleistocene,26.683145
parvilucina,Pleistocene,26.683145
crepidula,Pleistocene,26.683145
crepidula,Pleistocene,26.683145
crepidula,Pleistocene,29.15114
crepidula,Pleistocene,29.15114
crepidula,Pleistocene,29.15114
noetia,Pleistocene,29.15114
mulinia,Pleistocene,29.15114
mulinia,Pleistocene,29.15114
spisula,Pleistocene,29.15114
mulinia,Pleistocene,29.15114
crepidula,Pleistocene,29.15114
