genus,age,latitude
astarte,Pliocene,37.232224
mulinia,Pliocene,37.232224
chesapecten,Pliocene,37.232224
chesapecten,Pliocene,37.232224
astarte,Pliocene,37.232224
crepidula,Pliocene,37.232224
cyclocardia,Pliocene,37.232224
cyclocardia,Pliocene,37.148056
astarte,Pliocene,37.148056
mulinia,Pliocene,37.148056
striarca,Pliocene,37.148056
noetia,Pliocene,37.148056
chesapecten,Pliocene,37.148056
chesapecten,Pliocene,37.148056
chesapecten,Pliocene,37.148056
chesapecten,Pliocene,33.100277
astarte,Pliocene,33.100277
astarte,Pliocene,33.100277
cyclocardia,Pliocene,33.100277
chama,Pliocene,33.100277
parvilucina,Pliocene,33.100277
astarte,Pliocene,30.625834
parvilucina,Pliocene,30.625834
parvilucina,Pliocene,30.625834
chama,Pliocene,30.383333
crepidula,Pliocene,25.700001
crepidula,Pliocene,25.700001
crepidula,Pliocene,25.700001
crepidula,Pliocene,25.700001
crepidula,Pliocene,25.700001
spisula,Pliocene,35.149445
mulinia,Pliocene,35.149445
crepidula,Pliocene,27.336
mulinia,Pliocene,31.1646
mulinia,Pliocene,31.1646
mulinia,Pliocene,27.316668
chesapecten,Pliocene,27.316668
chesapecten,Pliocene,27.316668
cyclocardia,Pliocene,30.3876
chama,Pliocene,30.3876
noetia,Pliocene,30.3876
parvilucina,Pliocene,30.3876
mulinia,Pliocene,30.3876
chama,Pliocene,30.3876
noetia,Pliocene,34.878384
parvilucina,Pliocene,30.410829
crepidula,Pliocene,30.410829
crepidula,Pliocene,30.410829
chama,Pliocene,27.366642
crepidula,Pliocene,27.366642
chama,Pliocene,27.366642
crepidula,Pliocene,27.366642
crepidula,Pliocene,26.9925
crepidula,Pliocene,26.9925
chama,Pliocene,26.9925
chama,Pliocene,26.9925
crepidula,Pliocene,27.3125
mulinia,Pliocene,27.3125
spisula,Pliocene,25.7655
parvilucina,Pliocene,30.3876
chama,Pliocene,30.3876
cyclocardia,Pliocene,30.3876
astarte,Pliocene,30.3876
crepidula,Pliocene,37.02972
crepidula,Pliocene,35.30528
crepidula,Pliocene,37.02972
chesapecten,Pliocene,37.02972
chama,Pliocene,27.3041
chama,Pliocene,27.3041
crepidula,Pliocene,27.3041
crepidula,Pliocene,27.3041
crepidula,Pliocene,27.3041
crepidula,Pliocene,30.410829
chama,Pliocene,30.410829
crepidula,Pliocene,30.410829
crepidula,Pliocene,30.410829
astarte,Pliocene,30.410829
astarte,Pliocene,30.391421
mulinia,Pliocene,30.391421
modiolus,Pliocene,30.391421
modiolus,Pliocene,30.391421
spisula,Pliocene,30.391421
astarte,Pliocene,30.391421
noetia,Pliocene,30.391421
chama,Pliocene,30.391421
cyclocardia,Pliocene,30.391421
cyclocardia,Pliocene,30.391421
noetia,Pliocene,30.391421
spisula,Pliocene,30.391421
chama,Pliocene,30.391421
astarte,Pliocene,30.391421
parvilucina,Pliocene,30.391421
crepidula,Pliocene,30.391421
crepidula,Pliocene,30.391421
astarte,Pliocene,30.391421
cyclocardia,Pliocene,30.391421
parvilucina,Pliocene,30.391421
mulinia,Pliocene,30.391421
chama,Pliocene,30.391421
crepidula,Pliocene,30.391421
astarte,Pliocene,30.391421
chama,Pliocene,30.391421
chama,Pliocene,30.391421
mulinia,Pliocene,30.391421
crepidula,Pliocene,30.391421
cyclocardia,Pliocene,30.391421
crepidula,Pliocene,30.391421
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
parvilucina,Pliocene,27.366642
